facility_type,ID,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,FCLTY_LO,FCLTY_LA,OPNNG_DE,OPNNG_DE_RAW,OPNNG_DE_PRECISION,OPNNG_DAY_CO,BASE_DE,LAST_CHG_DE,LND_AR_VALUE,EDC_FCLTY_AR_VALUE,DATA_SPCE_AR_VALUE,NMPR_CO,QUALF_HOLD_CO,GNRL_GVRNM_EMP_CO,CNTRCT_EMP_CO,PUBLIC_VLNTER_CO,ARTGR_EMP_CO,PRFSN_CO,PRVATE_VLNTER_CO,DATA_CO,TOT_PROGRM_CO,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,MOBILE_PROVD_AT,SOUND_PROVD_AT,HMPG_ADDR,TEL_NO
박물관,KCDMMUS23N000000001,국립중앙박물관,서울,용산구,용산동6가,한강로동,126.9777402,37.52470224,1945-12-03,1945.12.03,day,360.0,2025-03-27,2025-03-27,285991.0,4975.0,1552.0,89.0,5.0,128.0,,213.0,,,,157323.0,16.0,4180285.0,11612.0,O,O,www.museum.go.kr,02-2077-9000
박물관,KCDMMUS23N000000002,국립민속박물관,서울,종로구,세종로,청운효자동,126.97889,37.58167453,1946-04-25,1946.04.25,day,362.0,2025-03-27,2025-03-27,39626.62,1376.68,324.0,58.0,1.0,37.0,8.0,81.0,,,,92786.0,70.0,1307690.0,3612.0,O,X,www.nfm.go.kr,02-3704-3114
박물관,KCDMMUS23N000000003,"국립민속박물관 파주
(개방형 수장고 및 정보센터)",경기,파주시,탄현면 법흥리,탄현면,126.6939179,37.78666956,2021-07-23,2021.07.23,day,313.0,2025-03-27,2025-03-27,60212.7,277.49,,,,,,37.0,,,,,10.0,83306.0,266.0,X,X,www.nfm.go.kr,031-580-5800
박물관,KCDMMUS23N000000004,대한민국역사박물관,서울,종로구,세종로,종로1.2.3.4가동,126.9783394,37.57371361,2012-12-26,2012.12.26,day,362.0,2025-03-27,2025-03-27,6445.0,496.0,81.0,55.0,23.0,,4.0,54.0,,,,18065.0,34.0,788347.0,2178.0,O,O,www.much.go.kr,02-3703-9200
박물관,KCDMMUS23N000000005,국립한글박물관,서울,용산구,용산동6가,서빙고동,126.9804863,37.5210688,2014-10-09,2014.10.09,day,362.0,2025-03-27,2025-03-27,285991.0,378.0,220.0,33.0,,19.0,13.0,64.0,,,,30059.0,33.0,397107.0,1097.0,O,O,www.hangeul.go.kr,02-2124-6200
박물관,KCDMMUS23N000000006,국립국악원 국악박물관,서울,서초구,서초동,서초3동,127.0098185,37.47771881,1995-02-23,1995.02.23,day,312.0,2025-03-27,2025-03-27,41338.0,532.0,254.0,3.0,,,,,,,,84732.0,3.0,106852.0,342.4,O,O,www.gugak.go.kr,02-580-3130
박물관,KCDMMUS23N000000007,국립극장 공연예술박물관,서울,중구,장충동2가,장충동,126.9992673,37.55199491,2009-12-23,2009.12.23,day,312.0,2025-03-27,2025-03-27,13490.0,169.0,175.0,7.0,,1.0,1.0,619.0,,,,23068.0,5.0,19377.0,62.0,X,X,www.ntok.go.kr/kr/Museum/Main/Index,02-2280-5804
박물관,KCDMMUS23N000000008,국립경찰박물관,서울,종로구,행촌동,교남동,126.962196,37.5720573,2005-10-14,2005.10.14,day,306.0,2025-03-27,2025-03-27,2006.7,132.3,,3.0,,7.0,,,,,,,7.0,130321.0,426.0,O,X,www.policemuseum.go.kr,02-3150-3681
박물관,KCDMMUS23N000000009,국립고궁박물관,서울,종로구,세종로,청운효자동,126.9749748,37.57659162,2006-08-15,2006.08.15,day,365.0,2025-03-27,2025-03-27,32.159,828.0,353.0,28.0,1.0,17.0,5.0,,,,,42993.0,34.0,883599.0,2420.0,O,O,www.gogung.go.kr,02-3701-7500
박물관,KCDMMUS23N000000010,국립관세박물관,서울,강남구,논현동,논현2동,127.0337847,37.51828319,2000-08-30,2000.08.30,day,249.0,2025-03-27,2025-03-27,16543.6,288.0,,1.0,1.0,4.0,,,,,,,2.0,1331.0,5.0,X,X,www.customs.go.kr/seoul/main.do,02-510-1089
박물관,KCDMMUS23N000000011,국립기상박물관,서울,종로구,송월동,사직동,126.9662042,37.57022174,2020-10-30,2020.10.30,day,310.0,2025-03-27,2025-03-27,4155.6,66.0,,1.0,,2.0,,,,,,,5.0,14206.0,46.0,O,O,science.kma.go.kr/museum,070-7850-8495
박물관,KCDMMUS23N000000012,국토발전전시관,서울,중구,정동,소공동,126.9700824,37.56681018,2017-11-02,2017.11.02,day,306.0,2025-03-27,2025-03-27,3728.6,137.5,667.0,,,4.0,,24.0,,,,,6.0,126322.0,413.0,X,O,www.molit.go.kr/molitum,02-3425-8900
박물관,KCDMMUS23N000000013,국회박물관,서울,영등포구,여의도동,여의동,126.9164039,37.53291197,1998-05-29,1998.05.29,day,214.0,2025-03-27,2025-03-27,2550.0,736.21,,9.0,5.0,8.0,4.0,,,,,,6.0,267181.0,1248.0,O,X,museum.assembly.go.kr,02-6788-3664
박물관,KCDMMUS23N000000014,석조전 대한제국역사관,서울,중구,정동,소공동,126.9737258,37.56608683,2014-10-13,2014.10.13,day,313.0,2025-03-27,2025-03-27,1630.0,,37.0,1.0,,18.0,,,,,,1300.0,4.0,1335076.0,4265.0,X,O,www.deoksugung.go.kr/,02-771-9953
박물관,KCDMMUS23N000000015,한국영화박물관,서울,마포구,상암동,상암동,126.8898393,37.58065618,2008-05-09,2008.05.09,day,225.0,2025-03-27,2025-03-27,962.0,1031.54,672.0,1.0,,,1.0,6.0,,,,67914.0,22.0,33705.0,150.0,O,O,www.koreafilm.or.kr/museum/main,02-3153-2072
박물관,KCDMMUS23N000000016,국립항공박물관,서울,강서구,공항동,공항동,126.8088723,37.55686977,2020-07-05,2020.07.05,day,311.0,2025-03-27,2025-03-27,3425949.9,344.4,347.6,22.0,3.0,,1.0,2550.0,,,,11992.0,20.0,312633.0,1005.0,X,X,www.aviation.or.kr,02-6940-3198
박물관,KCDMMUS23N000000017,국립대한민국임시정부기념관,서울,서대문구,현저동,천연동,126.9544173,37.57599973,2022-03-01,2022.03.01,day,300.0,2025-03-27,2025-03-27,3656.0,1043.0,593.0,24.0,12.0,,,,,,,8090.0,17.0,164627.0,549.0,O,O,www.nmkpg.go.kr,02-772-8708
박물관,KCDMMUS23N000000018,둘리뮤지엄,서울,도봉구,쌍문동,쌍문1동,127.0276385,37.65242986,2015-07-24,2015.07.24,day,306.0,2025-03-27,2025-03-27,5600.0,103.0,180.0,,,,,2518.0,,,,14912.0,12.0,74520.0,244.0,O,X,www.doolymuseum.or.kr,02-990-2200
