facility_type,ID,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,FCLTY_LO,FCLTY_LA,OPNNG_DE,OPNNG_DE_RAW,OPNNG_DE_PRECISION,OPNNG_DAY_CO,BASE_DE,LAST_CHG_DE,LND_AR_VALUE,EDC_FCLTY_AR_VALUE,DATA_SPCE_AR_VALUE,NMPR_CO,QUALF_HOLD_CO,GNRL_GVRNM_EMP_CO,CNTRCT_EMP_CO,PUBLIC_VLNTER_CO,ARTGR_EMP_CO,PRFSN_CO,PRVATE_VLNTER_CO,DATA_CO,TOT_PROGRM_CO,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,MOBILE_PROVD_AT,SOUND_PROVD_AT,HMPG_ADDR,TEL_NO,OPNNG_DAY_CO_IQR_OUTLIER,LND_AR_VALUE_IQR_OUTLIER,EDC_FCLTY_AR_VALUE_IQR_OUTLIER,DATA_SPCE_AR_VALUE_IQR_OUTLIER,NMPR_CO_IQR_OUTLIER,QUALF_HOLD_CO_IQR_OUTLIER,GNRL_GVRNM_EMP_CO_IQR_OUTLIER,CNTRCT_EMP_CO_IQR_OUTLIER,PUBLIC_VLNTER_CO_IQR_OUTLIER,ARTGR_EMP_CO_IQR_OUTLIER,PRFSN_CO_IQR_OUTLIER,PRVATE_VLNTER_CO_IQR_OUTLIER,DATA_CO_IQR_OUTLIER,TOT_PROGRM_CO_IQR_OUTLIER,VIEWNG_NMPR_CO_IQR_OUTLIER,DAY_AVRG_VIEWNG_NMPR_CO_IQR_OUTLIER,IQR_OUTLIER_FLAG_COUNT,OPNNG_YEAR,BASE_YEAR,OPERATING_YEARS,REGION_GROUP,SIDO_SIGUNGU,LOG1P_LND_AR_VALUE,LOG1P_EDC_FCLTY_AR_VALUE,LOG1P_DATA_SPCE_AR_VALUE,LOG1P_NMPR_CO,LOG1P_DATA_CO,LOG1P_TOT_PROGRM_CO,LOG1P_VIEWNG_NMPR_CO,LOG1P_DAY_AVRG_VIEWNG_NMPR_CO
박물관,KCDMMUS23N000000001,국립중앙박물관,서울,용산구,용산동6가,한강로동,126.9777402,37.52470224,1945-12-03,1945.12.03,day,360.0,2025-03-27,2025-03-27,285991.0,4975.0,1552.0,89.0,5.0,128.0,,213.0,,,,157323.0,16.0,4180285.0,11612.0,O,O,www.museum.go.kr,02-2077-9000,False,True,True,True,True,True,True,,True,,,,True,False,True,True,10,1945,2025,80,수도권,서울 용산구,12.563719117382794,8.512381634419015,7.347943823148687,4.499809670330265,11.966062652106062,2.833213344056216,15.245890223212957,9.359880439245758
박물관,KCDMMUS23N000000002,국립민속박물관,서울,종로구,세종로,청운효자동,126.97889,37.58167453,1946-04-25,1946.04.25,day,362.0,2025-03-27,2025-03-27,39626.62,1376.68,324.0,58.0,1.0,37.0,8.0,81.0,,,,92786.0,70.0,1307690.0,3612.0,O,X,www.nfm.go.kr,02-3704-3114,False,False,True,True,True,False,True,False,False,,,,True,True,True,True,8,1946,2025,79,수도권,서울 종로구,10.587281628867576,7.228156203996644,5.783825182329737,4.07753744390572,11.438061822754406,4.2626798770413155,14.083773544558454,8.19229373114764
박물관,KCDMMUS23N000000003,"국립민속박물관 파주
(개방형 수장고 및 정보센터)",경기,파주시,탄현면 법흥리,탄현면,126.6939179,37.78666956,2021-07-23,2021.07.23,day,313.0,2025-03-27,2025-03-27,60212.7,277.49,,,,,,37.0,,,,,10.0,83306.0,266.0,X,X,www.nfm.go.kr,031-580-5800,False,True,False,,,,,,False,,,,,False,False,False,1,2021,2025,4,수도권,경기 파주시,11.005655180156538,5.629382152079951,,,,2.3978952727983707,11.330287858237753,5.58724865840025
박물관,KCDMMUS23N000000004,대한민국역사박물관,서울,종로구,세종로,종로1.2.3.4가동,126.9783394,37.57371361,2012-12-26,2012.12.26,day,362.0,2025-03-27,2025-03-27,6445.0,496.0,81.0,55.0,23.0,,4.0,54.0,,,,18065.0,34.0,788347.0,2178.0,O,O,www.much.go.kr,02-3703-9200,False,False,False,False,True,True,,False,False,,,,False,True,True,True,5,2012,2025,13,수도권,서울 종로구,8.771215062375383,6.208590026096629,4.406719247264253,4.02535169073515,9.801786997709788,3.5553480614894135,13.577694895718158,7.68662133494462
박물관,KCDMMUS23N000000005,국립한글박물관,서울,용산구,용산동6가,서빙고동,126.9804863,37.5210688,2014-10-09,2014.10.09,day,362.0,2025-03-27,2025-03-27,285991.0,378.0,220.0,33.0,,19.0,13.0,64.0,,,,30059.0,33.0,397107.0,1097.0,O,O,www.hangeul.go.kr,02-2124-6200,False,True,False,True,True,,True,True,False,,,,True,True,True,True,9,2014,2025,11,수도권,서울 용산구,12.563719117382794,5.937536205082426,5.3981627015177525,3.5263605246161616,10.310950663306965,3.5263605246161616,12.891963562975342,7.001245622069476
박물관,KCDMMUS23N000000006,국립국악원 국악박물관,서울,서초구,서초동,서초3동,127.0098185,37.47771881,1995-02-23,1995.02.23,day,312.0,2025-03-27,2025-03-27,41338.0,532.0,254.0,3.0,,,,,,,,84732.0,3.0,106852.0,342.4,O,O,www.gugak.go.kr,02-580-3130,False,True,False,True,False,,,,,,,,True,False,False,False,3,1995,2025,30,수도권,서울 서초구,10.629561643296354,6.278521424165844,5.541263545158426,1.3862943611198906,11.347260415151336,1.3862943611198906,11.579209337096247,5.838895948463375
박물관,KCDMMUS23N000000007,국립극장 공연예술박물관,서울,중구,장충동2가,장충동,126.9992673,37.55199491,2009-12-23,2009.12.23,day,312.0,2025-03-27,2025-03-27,13490.0,169.0,175.0,7.0,,1.0,1.0,619.0,,,,23068.0,5.0,19377.0,62.0,X,X,www.ntok.go.kr/kr/Museum/Main/Index,02-2280-5804,False,False,False,False,False,,False,False,True,,,,True,False,False,False,2,2009,2025,16,수도권,서울 중구,9.509778075438817,5.135798437050262,5.170483995038151,2.0794415416798357,10.046245003891086,1.791759469228055,9.87189368094495,4.143134726391533
박물관,KCDMMUS23N000000008,국립경찰박물관,서울,종로구,행촌동,교남동,126.962196,37.5720573,2005-10-14,2005.10.14,day,306.0,2025-03-27,2025-03-27,2006.7,132.3,,3.0,,7.0,,,,,,,7.0,130321.0,426.0,O,X,www.policemuseum.go.kr,02-3150-3681,False,False,False,,False,,False,,,,,,,False,False,False,0,2005,2025,20,수도권,서울 종로구,7.6047450672595325,4.892602227184663,,1.3862943611198906,,2.0794415416798357,11.777763589996717,6.056784013228625
박물관,KCDMMUS23N000000009,국립고궁박물관,서울,종로구,세종로,청운효자동,126.9749748,37.57659162,2006-08-15,2006.08.15,day,365.0,2025-03-27,2025-03-27,32.159,828.0,353.0,28.0,1.0,17.0,5.0,,,,,42993.0,34.0,883599.0,2420.0,O,O,www.gogung.go.kr,02-3701-7500,False,False,True,True,True,False,False,False,,,,,True,True,True,True,7,2006,2025,19,수도권,서울 종로구,3.501314172996928,6.720220155135295,5.869296913133774,3.367295829986474,10.668815850056081,3.5553480614894135,13.6917597505281,7.791935956938058
박물관,KCDMMUS23N000000010,국립관세박물관,서울,강남구,논현동,논현2동,127.0337847,37.51828319,2000-08-30,2000.08.30,day,249.0,2025-03-27,2025-03-27,16543.6,288.0,,1.0,1.0,4.0,,,,,,,2.0,1331.0,5.0,X,X,www.customs.go.kr/seoul/main.do,02-510-1089,False,False,False,,False,False,False,,,,,,,False,False,False,0,2000,2025,25,수도권,서울 강남구,9.71381504357509,5.666426688112432,,0.6931471805599453,,1.0986122886681098,7.194436851100335,1.791759469228055
