feature,importance_mean,importance_std
OPNNG_DAY_CO,0.17963247798429913,0.0159277288545028
LOG1P_NMPR_CO,0.1141517200224558,0.029873577473815232
LOG1P_LND_AR_VALUE,0.07911658697276445,0.016245595233573527
ARTGR_EMP_CO,0.05768557221377313,0.01027565332412628
facility_type,0.037667158487858274,0.0083754541541506
LOG1P_TOT_PROGRM_CO,0.03633694761757662,0.010242471107330767
MOBILE_PROVD_AT,0.02874251407038365,0.01060030102577646
LOG1P_EDC_FCLTY_AR_VALUE,0.01853634703472883,0.004543418079585451
PRVATE_VLNTER_CO,0.018408651251935183,0.006541898315271193
LOG1P_DATA_CO,0.018369773788824217,0.007725598631392082
GNRL_GVRNM_EMP_CO,0.017297454854207483,0.008663975629582684
QUALF_HOLD_CO,0.01283689808017524,0.0070067969928427135
CTPRVN_NM,0.005677189890445966,0.009735479373171058
SOUND_PROVD_AT,0.0028545555288289172,0.004026778818992689
PUBLIC_VLNTER_CO,0.0013934853196119646,0.0014264869538746778
CNTRCT_EMP_CO,0.001262270468122162,0.001181424277571734
LOG1P_DATA_SPCE_AR_VALUE,0.0008708846227070577,0.002983225085246496
OPERATING_YEARS,0.0,0.0
PRFSN_CO,-0.004946973352325057,0.00482743251801879
