variable,n,missing_rate,pearson_r,pearson_p,pearson_sig,spearman_rho,spearman_p,spearman_sig
GNRL_GVRNM_EMP_CO,288,0.7467018469656992,0.48229536953824104,3.488398100822959e-18,***,0.6151084871019769,2.2814296754317e-31,***
QUALF_HOLD_CO,423,0.6279683377308707,0.327135971070078,5.2363102880075295e-12,***,0.5113402626494072,1.4777882163228046e-29,***
OPNNG_DAY_CO,1136,0.0008795074758135445,0.44904499030618517,1.8493397078187006e-57,***,0.4869566609202534,1.0872179316748743e-68,***
LOG1P_LND_AR_VALUE,1127,0.008795074758135445,0.44759095349275685,1.28483576924479e-56,***,0.47463890577090406,2.1971578740925537e-64,***
CNTRCT_EMP_CO,170,0.8504837291116975,0.31128536634517256,3.5985633529771004e-05,***,0.36895049327315543,7.38981945471505e-07,***
LOG1P_EDC_FCLTY_AR_VALUE,834,0.26649076517150394,0.3682012708773927,3.5608865470643656e-28,***,0.36059809806566906,5.186584100480482e-27,***
PUBLIC_VLNTER_CO,183,0.8390501319261213,0.11516958082782257,0.12054739342544638,n.s.,0.3247464625704013,7.286193217499297e-06,***
LOG1P_DATA_SPCE_AR_VALUE,657,0.42216358839050133,0.28823793939768705,4.900791253054245e-14,***,0.2646601809991597,5.418434134495153e-12,***
PRFSN_CO,205,0.8197009674582234,0.390147600495061,7.350665093781398e-09,***,0.24611378072988607,0.00037491739571197166,***
LOG1P_TOT_PROGRM_CO,895,0.21284080914687775,0.27258206309900246,1.0323189470892329e-16,***,0.243965748551095,1.3565489061238742e-13,***
ARTGR_EMP_CO,520,0.5426561125769569,-0.009089300610558617,0.8361868130230117,n.s.,0.24214144143100588,2.2471100505120904e-08,***
LOG1P_DATA_CO,641,0.436235708003518,0.18768760555923264,1.7083061775847626e-06,***,0.1652643067733209,2.6115279710057826e-05,***
PRVATE_VLNTER_CO,114,0.899736147757256,-0.07377778323132728,0.4353238628775276,n.s.,0.15424390491580828,0.10130783329132798,n.s.
LOG1P_NMPR_CO,633,0.44327176781002636,0.18199001599971693,4.060461050871238e-06,***,0.1402401322908837,0.0004017983029162988,***
OPERATING_YEARS,1137,0.0,0.00792679441482535,0.7894713255689734,n.s.,-0.009777599654056128,0.7418984714205508,n.s.
