group_1,group_2,n_1,n_2,median_1,median_2,median_diff_1_minus_2,u_statistic,p_value,p_adj_holm,reject_0.05,sig
경기,제주특별자치도,184,57,9.909270619361799,11.345902288920296,-1.4366316695584977,2711.0,3.6572940559809706e-08,6.948858706363844e-06,True,***
전남,제주특별자치도,101,57,9.6067647354322,11.345902288920296,-1.7391375534880957,1369.0,4.6629034517945094e-08,8.812887523891622e-06,True,***
강원특별자치도,제주특별자치도,94,57,9.77033365003001,11.345902288920296,-1.575568638890287,1413.0,1.1871609348505462e-06,0.0002231862557519027,True,***
제주특별자치도,충북,57,48,11.345902288920296,9.383129695534837,1.9627725933854592,2117.5,1.4496571488796935e-06,0.0002710858868405027,True,***
서울,제주특별자치도,172,57,9.60580548123146,11.345902288920296,-1.7400968076888361,2963.0,7.752253043338397e-06,0.0014419190660609417,True,**
경남,제주특별자치도,82,57,10.102374139647317,11.345902288920296,-1.2435281492729793,1335.5,1.813779559514662e-05,0.003355492185102125,True,**
광주,제주특별자치도,26,57,9.100477678276986,11.345902288920296,-2.24542461064331,310.0,2.3701758449108547e-05,0.004361123554635972,True,**
경북,제주특별자치도,79,57,10.130901970700984,11.345902288920296,-1.215000318219312,1316.5,3.762969939278881e-05,0.006886234988880352,True,**
전북,제주특별자치도,20,57,9.416350056279093,11.345902288920296,-1.9295522326412033,219.0,4.6627828144440806e-05,0.008486264722288226,True,**
제주특별자치도,충남,57,70,11.345902288920296,9.848306928283193,1.4975953606371029,2817.0,6.830482624058168e-05,0.012363173549545284,True,*
인천,제주특별자치도,36,57,10.281883314102501,11.345902288920296,-1.0640189748177953,572.0,0.0003474935204134147,0.06254883367441465,False,n.s.
부산,제주특별자치도,35,57,9.771726021353874,11.345902288920296,-1.574176267566422,566.5,0.0005356666626426768,0.09588433261303915,False,n.s.
강원,제주특별자치도,17,57,9.62476522145582,11.345902288920296,-1.7211370674644755,226.5,0.0009364347332598499,0.16668538252025328,False,n.s.
광주,제주,26,20,9.100477678276986,10.568130553046787,-1.4676528747698008,118.0,0.0017160511037010787,0.30374104535509094,False,n.s.
대구,제주특별자치도,24,57,9.70830750422784,11.345902288920296,-1.6375947846924568,397.0,0.0030436340987524593,0.5356796013804328,False,n.s.
광주,울산,26,11,9.100477678276986,10.452793230619966,-1.3523155523429793,56.0,0.004049256579895527,0.7086199014817172,False,n.s.
대전,제주특별자치도,18,57,9.629613969350121,11.345902288920296,-1.7162883195701752,282.5,0.004326239431831699,0.7527656611387156,False,n.s.
울산,전북,11,20,10.452793230619966,9.416350056279093,1.0364431743408726,179.0,0.004678338844972926,0.8093526201803162,False,n.s.
강원,충북,17,48,9.62476522145582,9.383129695534837,0.2416355259209837,439.5,0.6435158452747904,1.0,False,n.s.
강원특별자치도,경기,94,184,9.77033365003001,9.909270619361799,-0.13893696933178923,8896.0,0.6963189701873935,1.0,False,n.s.
강원특별자치도,경남,94,82,9.77033365003001,10.102374139647317,-0.3320404896173077,3459.0,0.2420043171656162,1.0,False,n.s.
강원특별자치도,경북,94,79,9.77033365003001,10.130901970700984,-0.3605683206709749,3489.0,0.4958008360906738,1.0,False,n.s.
강원특별자치도,광주,94,26,9.77033365003001,9.100477678276986,0.669855971753023,1510.0,0.06703582433762681,1.0,False,n.s.
강원특별자치도,대구,94,24,9.77033365003001,9.70830750422784,0.06202614580216981,1123.0,0.9759983554713694,1.0,False,n.s.
강원,제주,17,20,9.62476522145582,10.568130553046787,-0.9433653315909662,107.0,0.05681177687213462,1.0,False,n.s.
강원,충남,17,70,9.62476522145582,9.848306928283193,-0.22354170682737262,537.0,0.5382007207130379,1.0,False,n.s.
강원,서울,17,172,9.62476522145582,9.60580548123146,0.018959740224360644,1445.0,0.9388737836024,1.0,False,n.s.
강원,강원특별자치도,17,94,9.62476522145582,9.77033365003001,-0.1455684285741885,757.0,0.7339909581901742,1.0,False,n.s.
강원,광주,17,26,9.62476522145582,9.100477678276986,0.5242875431788345,263.5,0.29679866046965897,1.0,False,n.s.
강원,대구,17,24,9.62476522145582,9.70830750422784,-0.0835422827720187,191.0,0.7408068333824819,1.0,False,n.s.
강원,경남,17,82,9.62476522145582,10.102374139647317,-0.4776089181914962,575.5,0.26158002345748144,1.0,False,n.s.
강원,경기,17,184,9.62476522145582,9.909270619361799,-0.28450539790597773,1532.0,0.8908128628299,1.0,False,n.s.
강원특별자치도,전북,94,20,9.77033365003001,9.416350056279093,0.35398359375091637,1124.0,0.17158757158419136,1.0,False,n.s.
강원특별자치도,전남,94,101,9.77033365003001,9.6067647354322,0.16356891459780876,5054.5,0.4356182368863901,1.0,False,n.s.
강원특별자치도,제주,94,20,9.77033365003001,10.568130553046787,-0.7977969030167777,686.0,0.05894090301712274,1.0,False,n.s.
강원특별자치도,전북특별자치도,94,38,9.77033365003001,10.471695434556045,-0.7013617845260356,1469.5,0.11224437242439327,1.0,False,n.s.
강원특별자치도,충북,94,48,9.77033365003001,9.383129695534837,0.3872039544951722,2541.0,0.2198410757021788,1.0,False,n.s.
경기,경남,184,82,9.909270619361799,10.102374139647317,-0.19310352028551847,6603.0,0.10454104445548071,1.0,False,n.s.
경기,경북,184,79,9.909270619361799,10.130901970700984,-0.22163135133918566,6597.0,0.23575047556078,1.0,False,n.s.
강원특별자치도,충남,94,70,9.77033365003001,9.848306928283193,-0.07797327825318412,3177.0,0.7083917721912898,1.0,False,n.s.
경기,대구,184,24,9.909270619361799,9.70830750422784,0.20096311513395904,2120.0,0.7523750742745745,1.0,False,n.s.
경기,대전,184,18,9.909270619361799,9.629613969350121,0.2796566500116775,1578.0,0.7433528864169257,1.0,False,n.s.
경기,부산,184,35,9.909270619361799,9.771726021353874,0.13754459800792418,3069.5,0.6624418430442178,1.0,False,n.s.
경기,서울,184,172,9.909270619361799,9.60580548123146,0.3034651381303384,15510.5,0.7470182421226308,1.0,False,n.s.
경기,세종특별자치시,184,5,9.909270619361799,9.356170820187725,0.553099799174074,496.0,0.7686534422516236,1.0,False,n.s.
경기,울산,184,11,9.909270619361799,10.452793230619966,-0.543522611258167,613.0,0.028399195839562404,1.0,False,n.s.
경기,인천,184,36,9.909270619361799,10.281883314102501,-0.37261269474070247,3127.5,0.5983257671668752,1.0,False,n.s.
경기,광주,184,26,9.909270619361799,9.100477678276986,0.8087929410848123,2760.5,0.20450226951623474,1.0,False,n.s.
경기,전남,184,101,9.909270619361799,9.6067647354322,0.302505883929598,9521.0,0.7313414998298583,1.0,False,n.s.
경기,전북,184,20,9.909270619361799,9.416350056279093,0.4929205630827056,2036.5,0.4343836890711982,1.0,False,n.s.
경기,전북특별자치도,184,38,9.909270619361799,10.471695434556045,-0.5624248151942464,2808.5,0.056666129194962354,1.0,False,n.s.
경기,제주,184,20,9.909270619361799,10.568130553046787,-0.6588599336849885,1320.0,0.038271514221039665,1.0,False,n.s.
경기,충남,184,70,9.909270619361799,9.848306928283193,0.06096369107860511,6059.5,0.4676215262780641,1.0,False,n.s.
경기,충북,184,48,9.909270619361799,9.383129695534837,0.5261409238269614,4846.5,0.2990951857170212,1.0,False,n.s.
