CTPRVN_NM,n,mean_log_viewers,median_log_viewers,std_log_viewers,mean_viewers,median_viewers
제주특별자치도,57,11.092600380710733,11.345902288920296,1.4623255887024922,147073.1052631579,84617.0
제주,20,10.448333621811027,10.568130553046787,1.064544198590475,55629.55,39635.5
전북특별자치도,38,10.150541266976592,10.471695434556045,1.9672920583006905,87471.15789473684,35303.0
울산,11,10.765902298952803,10.452793230619966,0.9980107507136822,72789.63636363637,34640.0
인천,36,9.75352124990498,10.281883314102501,1.8501685735130897,57082.52777777778,29320.5
경북,79,9.86932891338173,10.130901970700984,1.7727034330957216,66986.21518987342,25106.0
경남,82,10.000497951586668,10.102374139647317,1.4788202351030546,56053.90243902439,24434.0
경기,184,9.608145775190986,9.909270619361799,1.7831860926569774,53165.50543478261,20115.0
충남,70,9.900869017247041,9.848306928283193,1.9938979640559353,140097.65714285715,18929.5
강원특별자치도,94,9.72849196045238,9.77033365003001,1.6863258695391021,55520.574468085106,17531.5
부산,35,9.70161242607418,9.771726021353874,1.9606043254743675,64031.28571428572,17530.0
대구,24,9.753562335689155,9.70830750422784,1.952713484091539,81347.20833333333,16510.0
대전,18,9.648271895737944,9.629613969350121,1.9399597128435795,44435.61111111111,15209.0
강원,17,9.617527110880522,9.62476522145582,1.5716975654044085,49737.0,15134.0
전남,101,9.541833282011149,9.6067647354322,1.6373392068753139,41420.53465346534,14864.0
서울,172,9.764802470562664,9.60580548123146,2.1798248327003487,156325.09302325582,14850.5
전북,20,9.36583049710799,9.416350056279093,1.2919368288485562,28206.4,12301.0
충북,48,9.297762125416499,9.383129695534837,1.8353584230838111,40909.875,11923.5
세종특별자치시,5,9.51892411111472,9.356170820187725,1.8142885825769923,51969.8,11569.0
광주,26,9.242154894095115,9.100477678276986,1.607323828113462,47970.769230769234,8960.0
