ID,FCLTY_NM,facility_type,CTPRVN_NM,CTPRVN_NM_STD,SIGNGU_NM,SIDO_SIGUNGU,SIDO_SIGUNGU_STD,REGION_GROUP,REGION_GROUP_STD,FCLTY_LO,FCLTY_LA,OPNNG_YEAR,BASE_YEAR,OPERATING_YEARS,OPNNG_DAY_CO,LND_AR_VALUE,EDC_FCLTY_AR_VALUE,DATA_SPCE_AR_VALUE,NMPR_CO,DATA_CO,TOT_PROGRM_CO,ARTGR_EMP_CO,QUALF_HOLD_CO,GNRL_GVRNM_EMP_CO,LOG1P_LND_AR_VALUE,LOG1P_EDC_FCLTY_AR_VALUE,LOG1P_DATA_SPCE_AR_VALUE,LOG1P_NMPR_CO,LOG1P_DATA_CO,LOG1P_TOT_PROGRM_CO,MOBILE_PROVD_AT,SOUND_PROVD_AT,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,LOG1P_VIEWNG_NMPR_CO,LOG1P_DAY_AVRG_VIEWNG_NMPR_CO,viewer_count_band,viewer_quartile,activation_level,has_prediction,pred_log,actual_viewers,pred_viewers,error_log,abs_error_log,error_viewers,abs_error_viewers,prediction_performance_group,IQR_OUTLIER_FLAG_COUNT
KCDMMUS23N000000001,국립중앙박물관,박물관,서울,서울,용산구,서울 용산구,서울 용산구,수도권,수도권,126.9777402,37.52470224,1945,2025,80,360.0,285991.0,4975.0,1552.0,89.0,157323.0,16.0,,5.0,128.0,12.563719117382794,8.512381634419015,7.347943823148687,4.499809670330265,11.966062652106062,2.833213344056216,O,O,4180285.0,11612.0,15.245890223212957,9.359880439245758,50만 이상,Q4 높음,높음,False,,,,,,,,예측 대상 아님,10
KCDMMUS23N000000002,국립민속박물관,박물관,서울,서울,종로구,서울 종로구,서울 종로구,수도권,수도권,126.97889,37.58167453,1946,2025,79,362.0,39626.62,1376.68,324.0,58.0,92786.0,70.0,,1.0,37.0,10.587281628867576,7.228156203996644,5.783825182329737,4.07753744390572,11.438061822754406,4.262679877041316,O,X,1307690.0,3612.0,14.083773544558454,8.19229373114764,50만 이상,Q4 높음,높음,False,,,,,,,,예측 대상 아님,8
KCDMMUS23N000000003,"국립민속박물관 파주
(개방형 수장고 및 정보센터)",박물관,경기,경기,파주시,경기 파주시,경기 파주시,수도권,수도권,126.6939179,37.78666956,2021,2025,4,313.0,60212.7,277.49,,,,10.0,,,,11.005655180156538,5.629382152079951,,,,2.3978952727983707,X,X,83306.0,266.0,11.330287858237751,5.58724865840025,5만~10만,Q4 높음,높음,False,,,,,,,,예측 대상 아님,1
KCDMMUS23N000000004,대한민국역사박물관,박물관,서울,서울,종로구,서울 종로구,서울 종로구,수도권,수도권,126.9783394,37.57371361,2012,2025,13,362.0,6445.0,496.0,81.0,55.0,18065.0,34.0,,23.0,,8.771215062375383,6.208590026096629,4.406719247264253,4.02535169073515,9.801786997709788,3.555348061489413,O,O,788347.0,2178.0,13.577694895718158,7.68662133494462,50만 이상,Q4 높음,높음,False,,,,,,,,예측 대상 아님,5
KCDMMUS23N000000005,국립한글박물관,박물관,서울,서울,용산구,서울 용산구,서울 용산구,수도권,수도권,126.9804863,37.5210688,2014,2025,11,362.0,285991.0,378.0,220.0,33.0,30059.0,33.0,,,19.0,12.563719117382794,5.937536205082426,5.3981627015177525,3.5263605246161616,10.310950663306963,3.5263605246161616,O,O,397107.0,1097.0,12.891963562975342,7.001245622069476,10만~50만,Q4 높음,높음,True,14.17284615530718,397107.0000000002,1429514.5309767148,-1.2808825923318388,1.2808825923318388,-1032407.5309767146,1032407.5309767146,예상보다 낮음,9
KCDMMUS23N000000006,국립국악원 국악박물관,박물관,서울,서울,서초구,서울 서초구,서울 서초구,수도권,수도권,127.0098185,37.47771881,1995,2025,30,312.0,41338.0,532.0,254.0,3.0,84732.0,3.0,,,,10.629561643296354,6.278521424165844,5.541263545158426,1.3862943611198906,11.347260415151336,1.3862943611198906,O,O,106852.0,342.4,11.579209337096248,5.838895948463375,10만~50만,Q4 높음,높음,False,,,,,,,,예측 대상 아님,3
KCDMMUS23N000000007,국립극장 공연예술박물관,박물관,서울,서울,중구,서울 중구,서울 중구,수도권,수도권,126.9992673,37.55199491,2009,2025,16,312.0,13490.0,169.0,175.0,7.0,23068.0,5.0,,,1.0,9.509778075438817,5.135798437050262,5.170483995038151,2.079441541679836,10.046245003891086,1.791759469228055,X,X,19377.0,62.0,9.87189368094495,4.143134726391533,1만~5만,Q2 중하,보통,False,,,,,,,,예측 대상 아님,2
KCDMMUS23N000000008,국립경찰박물관,박물관,서울,서울,종로구,서울 종로구,서울 종로구,수도권,수도권,126.962196,37.5720573,2005,2025,20,306.0,2006.7,132.3,,3.0,,7.0,,,7.0,7.6047450672595325,4.892602227184663,,1.3862943611198906,,2.079441541679836,O,X,130321.0,426.0,11.777763589996717,6.056784013228625,10만~50만,Q4 높음,높음,False,,,,,,,,예측 대상 아님,0
KCDMMUS23N000000009,국립고궁박물관,박물관,서울,서울,종로구,서울 종로구,서울 종로구,수도권,수도권,126.9749748,37.57659162,2006,2025,19,365.0,32.159,828.0,353.0,28.0,42993.0,34.0,,1.0,17.0,3.501314172996928,6.720220155135295,5.869296913133774,3.367295829986474,10.66881585005608,3.555348061489413,O,O,883599.0,2420.0,13.6917597505281,7.791935956938058,50만 이상,Q4 높음,높음,False,,,,,,,,예측 대상 아님,7
KCDMMUS23N000000010,국립관세박물관,박물관,서울,서울,강남구,서울 강남구,서울 강남구,수도권,수도권,127.0337847,37.51828319,2000,2025,25,249.0,16543.6,288.0,,1.0,,2.0,,1.0,4.0,9.71381504357509,5.666426688112432,,0.6931471805599453,,1.0986122886681098,X,X,1331.0,5.0,7.194436851100335,1.791759469228055,1만 이하,Q1 낮음,낮음,False,,,,,,,,예측 대상 아님,0
